block;miniblock;trial;target_category;target_1;target_2;vis_stim_cate;vis_stim_orientation;vis_stim_id;trial_type;aud_stim_id;post_trial_questions;vis_stim_dur;aud_stim_soa;trial_dur;jitter
1;1;1;face-object;face_01;object_01;face;center;face_01;target;high_pitch;FALSE;0.5;0.1;2;0.2
1;1;2;face-object;face_01;object_01;object;center;object_01;target;high_pitch;FALSE;1;0.4;2;0.9
1;1;3;face-object;face_01;object_01;char;left;letter_03;irrelevant;lower_pitch;FALSE;1.5;0.3;2;1
1;1;4;face-object;face_01;object_01;char;right;letter_18;irrelevant;lower_pitch;FALSE;1;1;2;1.8
1;1;5;face-object;face_01;object_01;object;center;object_12;non-target;high_pitch;FALSE;1.5;1.6;2;0.6
1;1;6;face-object;face_01;object_01;false;left;false_11;irrelevant;lower_pitch;FALSE;0.5;0.8;2;0.9
1;1;7;face-object;face_01;object_01;face;left;face_13;non-target;lower_pitch;FALSE;0.5;0;2;1.6
1;1;8;face-object;face_01;object_01;false;right;false_20;irrelevant;high_pitch;FALSE;1;0.4;2;0.2
1;1;9;face-object;face_01;object_01;char;left;letter_04;irrelevant;lower_pitch;FALSE;1.5;0.3;2;0.9
1;1;10;face-object;face_01;object_01;false;center;false_09;irrelevant;lower_pitch;FALSE;1;1.4;2;1
1;1;11;face-object;face_01;object_01;object;center;object_11;non-target;lower_pitch;FALSE;1.5;1.9;2;1.8
1;1;12;face-object;face_01;object_01;object;center;object_01;target;high_pitch;FALSE;0.5;0.1;2;0.6
1;1;13;face-object;face_01;object_01;char;left;letter_12;irrelevant;high_pitch;FALSE;0.5;0.6;2;0.9
1;1;14;face-object;face_01;object_01;face;right;face_15;non-target;lower_pitch;FALSE;1;0.4;2;1.6
1;1;15;face-object;face_01;object_01;face;right;face_01;target;high_pitch;FALSE;1.5;1.6;2;0.2
1;1;16;face-object;face_01;object_01;false;left;false_12;irrelevant;lower_pitch;FALSE;1;1;2;0.9
1;1;17;face-object;face_01;object_01;face;right;face_01;target;lower_pitch;FALSE;1.5;1.7;2;1
1;1;18;face-object;face_01;object_01;object;center;object_01;target;high_pitch;FALSE;0.5;0.2;2;1.8
1;1;19;face-object;face_01;object_01;char;center;letter_19;irrelevant;high_pitch;FALSE;0.5;0;2;0.6
1;1;20;face-object;face_01;object_01;char;center;letter_02;irrelevant;high_pitch;FALSE;1;1.3;2;0.9
1;1;21;face-object;face_01;object_01;object;left;object_06;non-target;high_pitch;FALSE;1.5;1.6;2;1.6
1;1;22;face-object;face_01;object_01;false;right;false_17;irrelevant;lower_pitch;FALSE;1;1.2;2;0.2
1;1;23;face-object;face_01;object_01;face;center;face_12;non-target;lower_pitch;FALSE;1.5;1.7;2;0.9
1;1;24;face-object;face_01;object_01;false;left;false_02;irrelevant;lower_pitch;FALSE;0.5;0.4;2;1
1;1;25;face-object;face_01;object_01;char;left;letter_03;irrelevant;high_pitch;FALSE;0.5;0.2;2;1.8
1;1;26;face-object;face_01;object_01;false;right;false_11;irrelevant;lower_pitch;FALSE;1;1.4;2;0.6
1;1;27;face-object;face_01;object_01;object;left;object_07;non-target;lower_pitch;FALSE;1.5;1.6;2;0.9
1;1;28;face-object;face_01;object_01;object;center;object_04;non-target;high_pitch;FALSE;1;1;2;1.6
1;1;29;face-object;face_01;object_01;char;center;letter_12;irrelevant;lower_pitch;FALSE;1.5;1.7;2;0.9
1;1;30;face-object;face_01;object_01;face;center;face_07;non-target;high_pitch;FALSE;0.5;0.9;2;1
1;1;31;face-object;face_01;object_01;face;left;face_05;non-target;lower_pitch;FALSE;0.5;0.2;2;1.8
1;1;32;face-object;face_01;object_01;false;right;false_05;irrelevant;high_pitch;FALSE;1;1.3;2;0.6
1;1;33;face-object;face_01;object_01;face;right;face_03;non-target;lower_pitch;FALSE;1.5;0.3;2;1
1;1;34;face-object;face_01;object_01;object;left;object_06;non-target;lower_pitch;FALSE;1;1;2;1.8
1;1;35;face-object;face_01;object_01;char;right;letter_09;irrelevant;lower_pitch;FALSE;1.5;1.8;2;0.6
