cali_ms,iT,estimation_error
100,183,-83
200,344,-144
400,404,-4
1000,797,203
500,429,71
100,130,-30
800,612,188
300,63,237
20,13,7
900,574,326
1000,862,138
500,524,-24
600,443,157
1000,772,228
700,645,55
700,600,100
600,600,0
300,362,-62
100,84,16
100,106,-6
200,140,60
600,860,-260
20,47,-27
500,504,-4
100,114,-14
600,419,181
700,820,-120
600,578,22
200,267,-67
1000,972,28
300,412,-112
600,439,161
20,25,-5
400,179,221
800,685,115
900,1000,-100
300,418,-118
700,321,379
500,671,-171
800,836,-36
400,441,-41
200,97,103
500,362,138
800,659,141
300,174,126
1000,587,413
200,184,16
100,28,72
900,988,-88
200,202,-2
200,308,-108
400,495,-95
100,103,-3
200,104,96
20,15,5
500,501,-1
20,20,0
700,486,214
900,816,84
300,291,9
300,394,-94
800,602,198
400,396,4
400,613,-213
500,505,-5
600,599,1
100,89,11
700,506,194
1000,997,3
200,207,-7
20,14,6
600,713,-113
400,694,-294
500,428,72
500,481,19
600,416,184
20,22,-2
400,262,138
700,599,101
900,994,-94
20,47,-27
400,396,4
800,413,387
800,592,208
900,868,32
900,877,23
100,24,76
1000,802,198
700,813,-113
800,897,-97
1000,923,77
800,749,51
300,384,-84
300,289,11
20,10,10
900,959,-59
700,652,48
20,11,9
1000,628,372
900,279,621
