sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,iRT_vis,iRT_aud
SX118,auditory_and_visual,1,0,1,practice_05,practice_08,target,false_font,center,practice_05,1,0.85,0.116,1.116,offset,1000,255,26684.79623,26685.264365,1,empty,2,26685.9124127,NaN,NaN,NaN,1,0,26685.7962867209,26686.7962035,26687.638086,NaN,NaN,26679.6463662,879,750
SX118,auditory_and_visual,1,0,2,practice_05,practice_08,irrelevant,face,center,face_10,1.5,0.833333333333333,0.466,0.466,onset,1100,80,26690.696124,26692.0843755,1,,1,26691.1622714,NaN,NaN,NaN,1,0,26692.1960731,26692.6960937179,26693.5212743,NaN,NaN,0,NaN,568
SX118,auditory_and_visual,1,0,3,practice_05,practice_08,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100,195,26700.3625565,NaN,0,,1,26700.5946554,NaN,NaN,NaN,0,0,26701.8624911,26702.36248,26703.2544441,NaN,NaN,0,NaN,544
SX118,auditory_and_visual,1,0,4,practice_05,practice_08,irrelevant,face,left,face_08,1,1.71666666666667,0.232,1.232,offset,1100,98,26705.8291095,NaN,0,,1,26707.0614314,NaN,NaN,NaN,0,0,26706.8290980865,26707.8290018,26709.537658,NaN,NaN,0,307,156
SX118,auditory_and_visual,1,0,5,practice_05,practice_08,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,193,26712.1956612209,NaN,0,,1,26713.6963861,NaN,NaN,NaN,0,0,26713.6956005418,26714.1956120761,26715.4875294,NaN,NaN,0,267,987
SX118,auditory_and_visual,1,0,6,practice_05,practice_08,target,letter,center,practice_08,0.5,0.9,0.116,0.116,onset,1000,258,26717.6788017,NaN,0,,2,26717.7949447,NaN,NaN,NaN,0,0,26718.1787839,26719.6787997313,26720.570568,NaN,NaN,0,954,833
SX118,auditory_and_visual,1,0,7,practice_05,practice_08,non-target,letter,center,letter_01,1,0.933333333333333,0,0,onset,1100,11,26723.3453684313,NaN,0,,1,26723.3460103,NaN,NaN,NaN,0,0,26724.3452759,26725.3451985,26726.2706288,NaN,NaN,0,764,259
SX118,auditory_and_visual,1,0,8,practice_05,practice_08,non-target,false_font,left,false_font_06,1.5,0.8,0.116,1.616,offset,1000,156,26728.4285482,NaN,0,,2,26730.0446735,NaN,NaN,NaN,0,0,26729.9285553865,26730.4285293418,26731.2202487,NaN,NaN,0,NaN,12
SX118,auditory_and_visual,1,0,9,practice_05,practice_08,target,letter,right,practice_08,1,0.866666666666667,0.466,0.466,onset,1100,282,26732.6951478657,NaN,0,,1,26733.1612102,NaN,NaN,NaN,0,0,26733.6950803,26734.6950459,26735.553577,NaN,NaN,0,465,753
SX118,auditory_and_visual,1,0,10,practice_05,practice_08,non-target,false_font,left,false_font_13,0.5,1.71666666666667,0.232,0.732,offset,1000,163,26737.8450227731,NaN,0,,2,26738.5773221,NaN,NaN,NaN,0,0,26738.3450083418,26739.844937,26741.5534069,NaN,NaN,0,640,870
SX118,auditory_and_visual,1,0,11,practice_05,practice_08,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,26744.4281744,NaN,0,,1,26744.8944155,NaN,NaN,NaN,0,0,26745.4281763104,26746.4281564313,26747.2199921,NaN,NaN,0,0,293
SX118,auditory_and_visual,1,0,12,practice_05,practice_08,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,26749.9780706865,NaN,0,,2,26750.4441421,NaN,NaN,NaN,0,0,26750.4780533418,26751.9780121627,26753.2365717,NaN,NaN,0,53,7
SX118,auditory_and_visual,1,0,13,practice_05,practice_08,irrelevant,face,left,face_18,1,0.733333333333333,0.232,0.232,onset,1100,108,26757.6945259,NaN,0,,1,26757.9266584,NaN,NaN,NaN,0,0,26758.6945361761,26759.6944605,26760.4197451,NaN,NaN,0,223,180
SX118,auditory_and_visual,1,0,14,practice_05,practice_08,irrelevant,face,center,face_02,1,0.733333333333333,0.116,0.116,onset,1100,72,26762.4777295,NaN,0,,1,26762.5938796,NaN,NaN,NaN,0,0,26763.4777388418,26764.4777207761,26765.2029707,NaN,NaN,0,561,895
SX118,auditory_and_visual,1,0,15,practice_05,practice_08,non-target,letter,center,letter_17,0.5,0.8,0,0.5,offset,1100,27,26767.2109901313,NaN,0,,1,26767.7116376,NaN,NaN,NaN,0,0,26767.7109625,26769.2109413313,26770.0028699,NaN,NaN,0,996,36
SX118,auditory_and_visual,1,0,16,practice_05,practice_08,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,171,26777.2941010209,NaN,0,,2,26777.5262741,NaN,NaN,NaN,0,0,26777.7940369,26779.2940344418,26780.5858211,NaN,NaN,0,NaN,580
SX118,auditory_and_visual,1,0,17,practice_05,practice_08,irrelevant,object,center,object_11,0.5,1.26666666666667,0,0.5,offset,1000,201,26782.6939497179,NaN,0,,2,26783.1945997,NaN,NaN,NaN,0,0,26783.1939476552,26784.6938646,26785.9524317,NaN,NaN,0,NaN,627
SX118,auditory_and_visual,1,0,18,practice_05,practice_08,irrelevant,object,center,object_02,0.5,0.8,0,0,onset,1000,192,26788.4771655388,NaN,0,,2,26788.4790124,NaN,NaN,NaN,0,0,26788.9771421,26790.4770959313,26791.2689387,NaN,NaN,0,NaN,105
SX118,auditory_and_visual,1,0,19,practice_05,practice_08,irrelevant,face,center,face_19,1.5,0.833333333333333,0.466,1.966,offset,1000,89,26792.9770390865,NaN,0,,2,26794.9431018,NaN,NaN,NaN,0,0,26794.4769468,26794.9769918761,26795.8020649,NaN,NaN,0,NaN,136
SX118,auditory_and_visual,1,0,20,practice_05,practice_08,non-target,false_font,right,false_font_07,1.5,0.966666666666667,0.232,1.732,offset,1100,177,26798.1269220179,NaN,0,,1,26799.8589933,NaN,NaN,NaN,0,0,26799.62686,26800.1268371,26801.0853146,NaN,NaN,0,240,827
SX118,auditory_and_visual,1,0,21,practice_05,practice_08,irrelevant,object,left,object_19,1,1.2,0.232,1.232,offset,1000,229,26803.0767789,NaN,0,,2,26804.3090072,NaN,NaN,NaN,0,0,26804.0767784761,26805.0767607761,26806.2684705,NaN,NaN,0,38,401
SX118,auditory_and_visual,1,0,22,practice_05,practice_08,target,letter,right,practice_08,1.5,0.733333333333333,0.466,1.966,offset,1100,282,26814.076541797,NaN,0,,1,26816.0426788,NaN,NaN,NaN,0,0,26815.5764997657,26816.0764965313,26816.8017024,NaN,NaN,0,65,255
SX118,auditory_and_visual,1,0,23,practice_05,practice_08,non-target,false_font,right,false_font_02,0.5,0.733333333333333,0,0,onset,1000,172,26819.559743497,NaN,0,,2,26819.560461,NaN,NaN,NaN,0,0,26820.0597514,26821.559681,26822.2849215,NaN,NaN,0,405,542
SX118,auditory_and_visual,1,0,24,practice_05,practice_08,irrelevant,object,center,object_17,0.5,1,0.116,0.116,onset,1100,207,26824.4095814,NaN,0,,1,26824.5256704,NaN,NaN,NaN,0,0,26824.9095628,26826.4095393,26827.4014005,NaN,NaN,0,830,736
SX118,auditory_and_visual,1,0,25,practice_05,practice_08,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,26830.4261520627,NaN,0,,1,26830.5423327,NaN,NaN,NaN,0,0,26831.9261042,26832.4260414,26833.1512372,NaN,NaN,0,794,625
SX118,auditory_and_visual,1,0,26,practice_05,practice_08,irrelevant,face,right,face_16,1,1.13333333333333,0,1,offset,1000,126,26834.9093833104,NaN,0,,2,26835.9100585,NaN,NaN,NaN,0,0,26835.9093534313,26836.9093259418,26838.0345684,NaN,NaN,0,806,814
SX118,auditory_and_visual,1,0,27,practice_05,practice_08,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,26841.0092311418,NaN,0,,2,26841.6253052,NaN,NaN,NaN,0,0,26841.5092167657,26843.0090564,26843.7511042,NaN,NaN,0,NaN,286
SX118,auditory_and_visual,1,0,28,practice_05,practice_08,irrelevant,face,center,face_10,1.5,0.8,0.232,1.732,offset,1100,80,26846.0924448865,NaN,0,,1,26847.8247005,NaN,NaN,NaN,0,0,26847.5924031761,26848.0923983209,26848.8842858,NaN,NaN,0,421,875
SX118,auditory_and_visual,1,0,29,practice_05,practice_08,irrelevant,object,right,object_18,1.5,0.966666666666667,0,1.5,offset,1000,248,26851.5089779,NaN,0,,2,26853.0095643,NaN,NaN,NaN,0,0,26853.0089228,26853.5088849,26854.4675016,NaN,NaN,0,450,128
SX118,auditory_and_visual,1,0,30,practice_05,practice_08,non-target,false_font,center,false_font_01,1.5,0.783333333333333,0.232,0.232,onset,1100,131,26857.1754795,NaN,0,,1,26857.407577,NaN,NaN,NaN,0,0,26858.6754787209,26859.1754429,26859.9506359,NaN,NaN,0,331,262
SX118,auditory_and_visual,1,0,31,practice_05,practice_08,non-target,letter,left,letter_10,1,0.933333333333333,0.116,1.116,offset,1100,40,26873.6917849,NaN,0,,1,26874.8080287,NaN,NaN,NaN,0,0,26874.6917405,26875.6916811,26876.6168634,NaN,NaN,0,710,486
SX118,auditory_and_visual,1,0,32,practice_05,practice_08,target,false_font,right,practice_05,1,1.2,0.466,0.466,onset,1100,279,26881.0582762627,NaN,0,,1,26881.5245242,NaN,NaN,NaN,0,0,26882.0582168,26883.0582358,26884.2500716,NaN,NaN,0,318,767
SX118,auditory_and_visual,1,0,33,practice_05,practice_08,non-target,letter,center,letter_12,0.5,0.8,0.466,0.466,onset,1000,22,26887.7247497,NaN,0,,2,26888.1910221,NaN,NaN,NaN,0,0,26888.2247398,26889.7247425313,26890.5165069,NaN,NaN,0,318,633
SX118,auditory_and_visual,1,0,34,practice_05,practice_08,non-target,letter,left,letter_03,1.5,0.916666666666667,0,1.5,offset,1000,33,26894.3580017313,NaN,0,,2,26895.8586621,NaN,NaN,NaN,0,0,26895.8579324761,26896.3579108865,26897.2664402,NaN,NaN,0,97,178
SX118,auditory_and_visual,1,0,35,practice_05,practice_08,non-target,false_font,center,false_font_13,1.5,0.783333333333333,0.466,0.466,onset,1000,143,26905.9077,NaN,0,,2,26906.3737948,NaN,NaN,NaN,0,0,26907.4076345,26907.9076163,26908.6827938,NaN,NaN,0,107,562
SX118,auditory_and_visual,1,0,36,practice_05,practice_08,irrelevant,face,left,face_08,1.5,0.733333333333333,0,0,onset,1100,98,26916.8740958179,NaN,0,,1,26916.8749099,NaN,NaN,NaN,0,0,26918.3740567865,26918.8740507761,26919.5991254,NaN,NaN,0,878,917
SX118,auditory_and_visual,1,0,37,practice_05,practice_08,irrelevant,object,center,object_14,1.5,0.783333333333333,0.116,1.616,offset,1100,204,26922.1072879,NaN,0,,1,26923.723387,NaN,NaN,NaN,0,0,26923.6072790866,26924.1072601865,26924.8825089,NaN,NaN,0,140,807
SX118,auditory_and_visual,1,0,38,practice_05,practice_08,non-target,letter,right,letter_13,0.5,0.8,0.116,0.616,offset,1000,63,26927.4404915,NaN,0,,2,26928.0567891,NaN,NaN,NaN,0,0,26927.9405106104,26929.4404620522,26930.2323202,NaN,NaN,0,421,725
SX118,auditory_and_visual,1,0,39,practice_05,practice_08,target,false_font,left,practice_05,1,0.933333333333333,0.232,1.232,offset,1100,267,26932.2736901,26934.5243805,1,,1,26933.5059228,NaN,NaN,NaN,1,0,26933.2736452,26934.2736231,26935.1987257,NaN,NaN,0,751,804
SX118,auditory_and_visual,1,0,40,practice_05,practice_08,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,26937.6402698418,NaN,0,,2,26937.8725608,NaN,NaN,NaN,0,0,26938.6402542866,26939.6401803,26940.3654819,NaN,NaN,0,18,454
